3/23/2020,12,NRS,,,,,,,,,,,
3/24/2020,14,NRS,,,,,,,,,,,
3/25/2020,15,NRS,,,,,,,,,,,
3/26/2020,30,NRS,,,,,,,,,,,
3/27/2020,65,NRS,,,,,,,,,,,
3/28/2020,72,NRS,,,,,,,,,,,
3/29/2020,72,NRS,,,,,,,,,,,
3/30/2020,115,NRS,,,,,,,,,,,
3/31/2020,165,NRS,,,,,,,,,,,
4/1/2020,214,NRS,,,,,,,,,,,
4/2/2020,277,NRS,,,,,,,,,,,
4/3/2020,348,NRS,,,,,,,,,,,
4/4/2020,350,NRS,,,,,,,,,,,
4/5/2020,354,NRS,,,,,,,,,,,
4/6/2020,476,NRS,,,,,,,,,,,
4/7/2020,593,NRS,,,,,,,,,,,
4/8/2020,718,NRS,,,,,,,,,,,
4/9/2020,819,NRS,,,,,,,,,,,
4/10/2020,904,NRS,,,,,,,,,,,
4/11/2020,954,NRS,,,,,,,,,,,
4/12/2020,964,NRS,,,,,,,,,,,
4/13/2020,"1,041",NRS,,,,,,,,,,,
4/14/2020,"1,185",NRS,,,,,,,,,,,
4/15/2020,"1,334",NRS,,,,,,,,,,,
4/16/2020,"1,462",NRS,,,,,,,,,,,
4/17/2020,"1,572",NRS,,,,,,,,,,,
4/18/2020,"1,597",NRS,,,,,,,,,,,
4/19/2020,"1,614",NRS,,,,,,,,,,,
4/20/2020,"1,738",NRS,,,,,,,,,,,
4/21/2020,"1,898",NRS,,,,,,,,,,,
4/22/2020,"2,019",NRS,,,,,,,,,,,
4/23/2020,"2,134",NRS,,,,,,,,,,,
4/24/2020,"2,218",NRS,,,,,,,,,,,
4/25/2020,"2,258",NRS,,,,,,,,,,,
4/26/2020,"2,272",NRS,,,,,,,,,,,
4/27/2020,"2,380",NRS,,,,,,,,,,,
4/28/2020,"2,514",NRS,,,,,,,,,,,
4/29/2020,"2,626",NRS,,,,,,,,,,,
4/30/2020,"2,699",NRS,,,,,,,,,,,
5/1/2020,"2,774",NRS,,,,,,,,,,,
5/2/2020,"2,788",NRS,,,,,,,,,,,
5/3/2020,"2,795",NRS,,,,,,,,,,,
,,,,,,,,,,,,,
Footnote,,,,,,,,,,,,,
"1) HPS figures are plotted against the day before they were first reported, as this relates to the day the deaths were registered and provides the closest comparison to the NRS figures.",,,,,,,,,,,,,
,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,
